123	DOGS	
12324	CATS	
12324	DOGS	
12324	HORSES	
12328	HORSES	
12563	HORSES	
12576	HORSES	
12577	CATTLE	
12577	HORSES	
12577	SHEEP	
12577	SWINE (PIGS)	
12609	CATS	
12618	WILD/MISCELLANEOUS	GUINEA PIGS
12618	WILD/MISCELLANEOUS	PRIMATES (NON-HUMAN)
12642	CATS	
12642	DOGS	
12660	HORSES	
1267	SWINE (PIGS)	
12682	SWINE (PIGS)	
12683	DOGS	
12686	DOGS	
12715	HORSES	
12737	CATTLE	
12738	CATTLE	
12738	HORSES	
12800	CATTLE	DAIRY CATTLE
12809	CATS	
12809	CATTLE	
12809	DOGS	
12809	HORSES	
12809	SHEEP	LAMB
12809	SWINE (PIGS)	
12813	DOGS	
12814	DOGS	
12820	CATTLE	
12820	HORSES	
12820	POULTRY	
12821	CATTLE	
12821	POULTRY	
12821	SWINE (PIGS)	
12832	CATTLE	
12832	HORSES	
12832	SHEEP	
12832	SWINE (PIGS)	
12848	HORSES	
12863	CATS	
12863	DOGS	
12876	CATTLE	
12876	DOG OR CAT	
12876	HORSES	
12876	SWINE (PIGS)	
12890	DOG OR CAT	
12902	CATTLE	
12902	POULTRY	
12902	SWINE (PIGS)	
12912	POULTRY	
12912	SWINE (PIGS)	
12935	CATTLE	
12949	CATTLE	
12949	HORSES	
12963	HORSES	
13000	CATTLE	
13000	HORSES	
13000	SHEEP	
13029	CATTLE	BEEF CATTLE
13029	CATTLE	COWS-DRY
13029	SWINE (PIGS)	
13031	DOGS	
13032	HORSES	
13091	CATS	
13091	CATTLE	
13091	DOGS	
13091	GOATS	
13091	HORSES	
13091	SHEEP	
13091	SWINE (PIGS)	
13110	HORSES	
13123	HORSES	
13171	DOGS	
1321	DOG OR CAT	
1322	CATTLE	
1322	SHEEP	
1323	CATTLE	
1323	POULTRY	
1323	SHEEP	
1323	SWINE (PIGS)	
13231	HORSES	
13234	DOGS	
13234	HORSES	
1324	HORSES	
1325	CATTLE	
1325	DOG OR CAT	
1325	HORSES	
13279	CATTLE	
13292	CATTLE	CALVES
13292	POULTRY	
13292	SWINE (PIGS)	
13321	SWINE (PIGS)	
13353	CATTLE	
13367	HORSES	
13368	HORSES	
13378	CATTLE	DAIRY CATTLE
1344	CATTLE	
1344	DOGS	
1344	HORSES	
13455	HORSES	
13456	CATTLE	
13456	HORSES	
13456	SHEEP	
13456	SWINE (PIGS)	
13456	WILD/MISCELLANEOUS	
13465	HORSES	
13542	CATS	
13542	DOGS	
13543	DOGS	
13544	DOGS	
13556	POULTRY	REPLACEMENT CHICKENS
13567	POULTRY	BROILER CHICKENS
13575	CATTLE	
13575	HORSES	
13575	POULTRY	CHICKENS
13575	POULTRY	TURKEYS
13575	SWINE (PIGS)	
13576	CATS	
13576	DOGS	
13590	CATTLE	CALVES
13620	DOGS	
13640	CATTLE	CALVES
13650	HORSES	
13653	POULTRY	TURKEYS
13664	CATTLE	BEEF CATTLE
13664	CATTLE	BULLS
13664	CATTLE	CALVES
13664	CATTLE	COWS-DRY
13664	CATTLE	REPLACEMENT HEIFERS
13664	SWINE (PIGS)	
13676	POULTRY	CHICKENS
13676	SWINE (PIGS)	
13695	DOGS	
13697	SWINE (PIGS)	
13698	CATTLE	BEEF CATTLE
13698	CATTLE	BULLS
13698	CATTLE	CALVES
13698	CATTLE	COWS-DRY
13698	CATTLE	REPLACEMENT HEIFERS
13703	DOGS	
13744	CATTLE	CALVES
13744	SHEEP	LAMB
13750	CATTLE	CALVES
13750	POULTRY	BREEDER CHICKENS
13750	POULTRY	BROILER CHICKENS
13750	POULTRY	DUCKS
13750	POULTRY	GEESE
13750	POULTRY	REPLACEMENT CHICKENS
13750	POULTRY	TURKEYS
13750	SHEEP	LAMB
13750	SWINE (PIGS)	
13750	WILD/MISCELLANEOUS	MINK
13753	CATTLE	
13753	HORSES	
13755	CATS	
13755	DOGS	
13755	HORSES	
13756	CATTLE	
13756	HORSES	
13756	SWINE (PIGS)	
13757	CATTLE	
13757	HORSES	
13757	SWINE (PIGS)	
13768	HORSES	
13790	CATTLE	BEEF CATTLE
13790	CATTLE	BULLS
13790	CATTLE	CALVES
13790	CATTLE	COWS-DRY
13790	CATTLE	REPLACEMENT HEIFERS
13790	SHEEP	LAMB
13790	SWINE (PIGS)	
13793	HORSES	
13794	CATS	
13794	DOGS	
1382	HORSES	
1383	CATTLE	
1383	HORSES	
1383	WILD/MISCELLANEOUS	
13832	BIRDS	WILD/GAME BIRDS
1384	HORSES	
13845	BIRDS	WILD/GAME BIRDS
1385	CATS	
1385	CATTLE	
1385	DOGS	
1385	HORSES	
13856	CATTLE	
13856	HORSES	
13856	SWINE (PIGS)	
13862	HORSES	
13901	CATTLE	CALVES
13925	HORSES	
13927	WILD/MISCELLANEOUS	GUINEA PIGS
13927	WILD/MISCELLANEOUS	PRIMATES (NON-HUMAN)
13965	CATTLE	CALVES
13976	DOGS	
13977	HORSES	
13989	CATTLE	BEEF CATTLE
13989	CATTLE	CALVES
13989	POULTRY	CHICKENS
13989	POULTRY	TURKEYS
13989	SHEEP	LAMB
13989	SWINE (PIGS)	
1407	CATTLE	
1407	DOG OR CAT	
1407	HORSES	
1407	SHEEP	
1408	DOG OR CAT	
1408	HORSES	
1409	DOG OR CAT	
1409	HORSES	
14121	CATTLE	
14121	HORSES	
14121	SHEEP	
14122	CATTLE	
14122	HORSES	
14122	SHEEP	
14123	HORSES	
14159	HORSES	
14220	HORSES	
14254	CATTLE	
14254	HORSES	
14338	CATS	
14338	CATTLE	
14338	DOGS	
14338	HORSES	
14338	SHEEP	
14338	SWINE (PIGS)	
14349	SWINE (PIGS)	
14350	SWINE (PIGS)	
14404	CATS	
14404	CATTLE	
14404	DOGS	
14404	HORSES	
14404	SWINE (PIGS)	
14405	POULTRY	CHICKENS
14405	POULTRY	TURKEYS
14406	BIRDS	
14406	CATS	
14406	DOGS	
14406	SWINE (PIGS)	
14479	CATS	
14479	CATTLE	
14479	DOGS	
14479	HORSES	
14479	SWINE (PIGS)	
14480	CATTLE	CALVES
14480	HORSES	FOALS
14498	HORSES	
14501	POULTRY	CHICKENS
14501	POULTRY	TURKEYS
14501	SWINE (PIGS)	
14555	CATTLE	DAIRY CATTLE
14575	CATS	
14575	DOGS	
14576	CATS	
14576	DOGS	
1461	CATTLE	
1461	SWINE (PIGS)	
14620	DOGS	
14691	CATS	
1477	CATS	
1477	CATTLE	
1477	DOGS	
1477	GOATS	
1477	HORSES	
1477	SHEEP	
1477	SWINE (PIGS)	
15001	CATTLE	
15001	HORSES	
15001	POULTRY	CHICKENS
15001	POULTRY	TURKEYS
15001	SWINE (PIGS)	
15002	CATTLE	BEEF CATTLE
15002	CATTLE	BULLS
15002	CATTLE	CALVES
15002	CATTLE	COWS-DRY
15002	CATTLE	REPLACEMENT HEIFERS
15002	POULTRY	BROILER CHICKENS
15002	POULTRY	COMMERCIAL LAYER CHICKENS
15002	POULTRY	TURKEYS
15002	SHEEP	LAMB
15002	SWINE (PIGS)	
15004	SWINE (PIGS)	
1516	HORSES	
15172	CATTLE	CALVES
15248	HORSES	
15256	DOGS	
15257	DOGS	
15258	DOGS	
15259	CATTLE	
15259	DOGS	
1545	SWINE (PIGS)	
1546	CATTLE	COWS-LACTATING
1547	POULTRY	CHICKENS
1547	SWINE (PIGS)	
15495	CATTLE	
15495	DOGS	
15495	HORSES	
15517	CATTLE	
15517	DOGS	
15517	HORSES	
15517	SHEEP	
15522	CATS	
15522	DOGS	
15522	HORSES	
15541	CATS	
15541	DOGS	
15541	HORSES	
15623	HORSES	
1565	CATTLE	BEEF CATTLE
15770	CATTLE	
15770	GOATS	
15770	POULTRY	
15770	SHEEP	
15770	SWINE (PIGS)	
15771	CATTLE	
15771	GOATS	
15771	POULTRY	
15771	SHEEP	
15771	SWINE (PIGS)	
15786	CATTLE	DAIRY CATTLE
1580	DOGS	
15810	POULTRY	BROILER CHICKENS
1582	DOGS	
1583	HORSES	
1583	POULTRY	
1583	SWINE (PIGS)	
1588	CATTLE	
1588	DOGS	
1588	SWINE (PIGS)	
1590	DOGS	
1591	CATS	
1592	DOGS	
15932	CATTLE	COWS-LACTATING
15932	HORSES	
15932	SHEEP	
15933	CATS	
15933	CATTLE	CALVES
15933	DOGS	
15933	HORSES	FOALS
15933	SHEEP	
