cohortId,cohortName
7157,"doxepin exposures w 0d prior obsv, 30d gap"
7159,"doxycycline exposures w 0d prior obsv, 30d gap"
7160,"doxylamine exposures w 0d prior obsv, 30d gap"
7161,"droperidol exposures w 0d prior obsv, 30d gap"
7162,"dulaglutide exposures w 0d prior obsv, 30d gap"
7163,"duloxetine exposures w 0d prior obsv, 30d gap"
7164,"econazole exposures w 0d prior obsv, 30d gap"
7165,"edoxaban exposures w 0d prior obsv, 30d gap"
7166,"efavirenz exposures w 0d prior obsv, 30d gap"
7167,"efinaconazole exposures w 0d prior obsv, 30d gap"
7168,"eletriptan exposures w 0d prior obsv, 30d gap"
7169,"eliglustat exposures w 0d prior obsv, 30d gap"
7170,"elvitegravir exposures w 0d prior obsv, 30d gap"
7171,"emedastine exposures w 0d prior obsv, 30d gap"
7172,"empagliflozin exposures w 0d prior obsv, 30d gap"
7174,"enflurane exposures w 0d prior obsv, 30d gap"
7175,"enfuvirtide exposures w 0d prior obsv, 30d gap"
7176,"enoxacin exposures w 0d prior obsv, 30d gap"
7177,"enoxaparin exposures w 0d prior obsv, 30d gap"
7178,"entrectinib exposures w 0d prior obsv, 30d gap"
7179,"enzalutamide exposures w 0d prior obsv, 30d gap"
7180,"ephedrine exposures w 0d prior obsv, 30d gap"
7181,"epinastine exposures w 0d prior obsv, 30d gap"
7184,"eptifibatide exposures w 0d prior obsv, 30d gap"
7186,"ergotamine exposures w 0d prior obsv, 30d gap"
7187,"eribulin exposures w 0d prior obsv, 30d gap"
7188,"erlotinib exposures w 0d prior obsv, 30d gap"
7189,"erythromycin exposures w 0d prior obsv, 30d gap"
7191,"esomeprazole exposures w 0d prior obsv, 30d gap"
7192,"estradiol exposures w 0d prior obsv, 30d gap"
7193,"estrogens, conjugated (USP) exposures w 0d prior obsv, 30d gap"
7194,"estrogens, esterified (USP) exposures w 0d prior obsv, 30d gap"
7195,"etanercept exposures w 0d prior obsv, 30d gap"
7196,"ethotoin exposures w 0d prior obsv, 30d gap"
7197,"etodolac exposures w 0d prior obsv, 30d gap"
7198,"etomidate exposures w 0d prior obsv, 30d gap"
7199,"etonogestrel exposures w 0d prior obsv, 30d gap"
7200,"etoposide exposures w 0d prior obsv, 30d gap"
7202,"everolimus exposures w 0d prior obsv, 30d gap"
7203,"exenatide exposures w 0d prior obsv, 30d gap"
7204,"famotidine exposures w 0d prior obsv, 30d gap"
7205,"felbamate exposures w 0d prior obsv, 30d gap"
7206,"fenbendazole exposures w 0d prior obsv, 30d gap"
7207,"fenoprofen exposures w 0d prior obsv, 30d gap"
7209,"ferumoxytol exposures w 0d prior obsv, 30d gap"
7210,"fesoterodine exposures w 0d prior obsv, 30d gap"
7211,"fiber exposures w 0d prior obsv, 30d gap"
7212,"fingolimod exposures w 0d prior obsv, 30d gap"
7213,"flavoxate exposures w 0d prior obsv, 30d gap"
7214,"Fluanisone exposures w 0d prior obsv, 30d gap"
7215,"flubendazole exposures w 0d prior obsv, 30d gap"
7216,"fluconazole exposures w 0d prior obsv, 30d gap"
7217,"flumethasone exposures w 0d prior obsv, 30d gap"
7218,"flunarizine exposures w 0d prior obsv, 30d gap"
7219,"fluocinolone exposures w 0d prior obsv, 30d gap"
7220,"fluocinonide exposures w 0d prior obsv, 30d gap"
7221,"fluorometholone exposures w 0d prior obsv, 30d gap"
7222,"fluorouracil exposures w 0d prior obsv, 30d gap"
7223,"fluoxetine exposures w 0d prior obsv, 30d gap"
7224,"fluphenazine exposures w 0d prior obsv, 30d gap"
7225,"flurandrenolide exposures w 0d prior obsv, 30d gap"
7226,"flurbiprofen exposures w 0d prior obsv, 30d gap"
7227,"fluticasone exposures w 0d prior obsv, 30d gap"
7228,"fondaparinux exposures w 0d prior obsv, 30d gap"
7229,"fosamprenavir exposures w 0d prior obsv, 30d gap"
7230,"fosfomycin exposures w 0d prior obsv, 30d gap"
7231,"frovatriptan exposures w 0d prior obsv, 30d gap"
7232,"furosemide exposures w 0d prior obsv, 30d gap"
