concept_code_1	concept_name_1	concept_class_id_1	concept_id_2	concept_name_2	precedence
DPD113774	Sandalwood White	Ingredient	42903721	Santalum album seed extract	1
DPD103185	Dulse	Ingredient	42903517	dulse extract	1
DPD98103	Ammonium Benzoicum	Ingredient	42903464	ammonium benzoate	1
DPD113592	Rough Pigweed	Ingredient	42900429	redroot pigweed whole allergenic extract	1
DPD106939	Latrodectus Katipo	Ingredient	42900394	black widow spider venom	1
DPD104211	Fir	Ingredient	42900333	balsam fir leefy twig extract	1
DPD100196	Brucine	Ingredient	42900327	brucine sulfate	1
DPD105407	Hoang Nan	Ingredient	42900209	Strychnos wallichiana bark extract	1
DPD103826	Eugenia Jambosa	Ingredient	42900201	Syzygium jambos leaf extract	1
DPD114465	Skunk Cabbage	Ingredient	42900197	Symplocarpus foetidus root extract	1
DPD115244	Symphoricarpus Racemosus	Ingredient	42900195	Symphoricarpos albus fruit extract	1
DPD107549	Mamma	Ingredient	42900158	Sus scrofa mammary gland preparation	1
DPD114909	Stillingia	Ingredient	42900118	Stillingia sylvatica root extract	1
DPD114609	Solaninum	Ingredient	42900074	Solanum dulcamara stem extract	1
DPD114610	Solanum	Ingredient	42900074	Solanum dulcamara stem extract	1
DPD116396	Trifolium Pratense	Ingredient	42900047	Trifolium pratense flower extract	1
DPD117470	Xanthoxylum	Ingredient	42900035	Zanthoxylum americanum bark extract	1
DPD117023	Viburnum Lantana	Ingredient	42900008	Viburnum prunifolium bark extract	1
DPD114179	Self Heal	Ingredient	42899952	Prunella vulgaris flowering top extract	1
DPD106694	Knot Grass	Ingredient	42899948	Polygonum aviculare top extract	1
DPD99455	Balloon Flower	Ingredient	42899925	Platycodon grandiflorum root extract	1
DPD102027	Cubeba Officinalis	Ingredient	42899903	Piper cubeba fruit extract	1
DPD100363	Calabar Bean	Ingredient	42899880	Physostigma venenosum seed extract	1
DPD112644	Quercus Glandium Spiritus	Ingredient	42899835	Quercus robur nut extract	1
DPD114383	"Sinapis Arvensis, Flos"	Ingredient	42899807	Sinapsis arvensis flowering-fruiting top extract	1
DPD113286	Rhododendron Chrysanthum	Ingredient	42899791	Rhododendron aureum leaf extract	1
DPD112701	Radix Ledebouriella Seseloides	Ingredient	42899731	Saposhnikovia divaricata root extract	1
DPD114334	Siler Divaricatum	Ingredient	42899731	Saposhnikovia divaricata root extract	1
DPD113985	Sanicula	Ingredient	42899726	Sanicula europaea extract	1
DPD111113	Phellandrium Aquaticum	Ingredient	42899531	Oenanthe aquatica fruit extract	1
DPD106159	Ipomoea Stans	Ingredient	42899502	Ipomoea nil seed extract	1
DPD113188	Resina Laricis	Ingredient	42899489	Larix decidua resin extract	1
DPD107534	Malabar Nut	Ingredient	42899485	Justicia adhatoda leaf extract	1
DPD114030	Savin Oil	Ingredient	42899466	JUNIPERUS VIRGINIANA OIL	1
DPD107388	Lycopus Europaeus	Ingredient	42899362	Lycopus virginicus extract	1
DPD116126	Tonka Bean	Ingredient	42899077	Dipteryx odorata seed extract	1
DPD114104	Scurvy Grass	Ingredient	42898946	Cochlearia officinalis flowering top extract	1
DPD101041	Chinese Pagoda	Ingredient	42898943		1
DPD114937	Stramonium	Ingredient	42898908	Datura stramonium extract	1
DPD102230	Daphne Indica	Ingredient	42898907	Daphne odora bark extract	1
DPD99459	Balmony	Ingredient	42898759	Chelone glabra extract	1
DPD105588	Hydrocotyle	Ingredient	42898716	Centella asiatica extract	1
DPD99062	Asterias Rubens	Ingredient	42898659	Asterias rubens preparation	1
DPD99058	Astacus Fluviatilis	Ingredient	42898658	Astacus astacus preparation	1
DPD101801	Copaiva Officinalis	Ingredient	42898468	Copaifera officinalis Resin	1
DPD105028	Guinea Pepper	Ingredient	42898422	Aframomum angustifolium seed extract	1
DPD101881	Cortex Albizziae Julibrissin	Ingredient	42898414	Albizia julibrissin bark extract	1
DPD98832	Aquilaria Agallocha	Ingredient	42898345	Aquilaria malaccensis stem extract	1
DPD99030	Aspidosperma	Ingredient	42898319	Aspidosperma quebracho-blanco bark extract	1
DPD102788	Dithiobis	Ingredient	42898238	"2,2'-DITHIOBISBENZOTHIAZOLE"	1
DPD101183	Cicer Arietinum	Ingredient	40226438	chickpea allergenic extract	1
DPD110603	Pacific Weeds	Ingredient	40225727		1
DPD101043	Chinese Tinospora Stem	Ingredient	40221258	Tinospora cordifolia stem extract	1
DPD110056	Oil Of Cajeput	Ingredient	40221068	Melaleuca cajuputi leaf oil	1
DPD111948	Poria Cocos	Ingredient	40220850	Wolfiporia extensa whole extract	1
DPD116978	Veronica Beccabunga	Ingredient	40220741	Veronica officinalis leaf extract	1
DPD115236	Sycamore	Ingredient	40220734	Acer pseudoplatanus pollen extract	1
DPD116286	Tree Of Heaven	Ingredient	40220651	Ailanthus altissima whole extract	1
DPD101289	Clam	Ingredient	40170543	clam allergenic extract	1
DPD102853	Dog Hair	Ingredient	40170475	dog hair extract	1
DPD103113	Dried Yeast	Ingredient	40169420	Baker's yeast allergenic extract	1
DPD114290	Sheep Sorrel	Ingredient	40162235	sheep sorrel pollen extract	1
DPD112180	Privet	Ingredient	40162001	privet pollen extract	1
DPD99998	Blatta Americana	Ingredient	40161026	American cockroach extract	1
DPD103215	Dwarf Pine	Ingredient	36249961	Pinus mugo subsp. mugo leafy twig extract	1
DPD116755	Vaccinium Macrocarpon	Ingredient	36249484	Vaccinium macrocarpon whole extract	1
DPD110884	Penghawar	Ingredient	36249468		1
DPD113724	Salix Discolor	Ingredient	36249385	Salix alba whole extract	1
DPD105519	Human Immunoglobulins (Tetanus Immune Globulin (Human))	Ingredient	35604680	Tetanus immune globulin	1
DPD103535	Epilobium Palustre	Ingredient	35604447	Epilobium fleischeri whole extract	1
DPD112987	Rattlesnake	Ingredient	35603744	Crotalus horridus horridus whole extract	1
DPD107175	Linum Usitatissimum	Ingredient	35603444	Linum catharticum extract	1
DPD104192	Ficus Religiosa	Ingredient	35603211	Ficus religiosa leafy twig extract	1
DPD100702	Cascarilla	Ingredient	35602850	Croton eluteria bark extract	1
DPD114757	Spirea Latifolia	Ingredient	21014164	Meadowsweet	1
DPD104160	Ferrum Sidereum	Ingredient	21014160	Homeopathic ferrum sidereum	1
DPD111302	Phytolacca Decandra	Ingredient	21014156	Homeopathic phytolacca decandra	1
DPD107575	Manganese Fumarate	Ingredient	21014108	Magnesium monoethyl fumarate	1
DPD100301	Bilastine	Ingredient	21014068	Bilastine	1
DPD114445	Sitaxsentan Sodium	Ingredient	21014051	Sitaxentan	1
DPD108024	Metallum Album Homeo Chemical	Ingredient	21014034	Homeopathic arsenicum album	1
DPD113742	Salt Flower	Ingredient	19136030	"Saline Solution, Hypertonic"	1
DPD113330	Ribonucleic Acid	Ingredient	19136013	RNA	1
DPD114164	Selenium Chelate	Ingredient	19112412	SELENIUM HVP CHELATE	1
DPD111973	Potassium Aminoacid Chelate	Ingredient	19098530	"POTASSIUM,CHELATED"	1
DPD106171	Iris Florentina	Ingredient	19097155	ALLERGENIC EXTRACT- ORRIS ROOTIRIS FLORENTINA	1
DPD101154	Chromium Amino Acid Chelate	Ingredient	19096766	"CHROMIUM, CHELATED"	1
DPD117308	Wallflower	Ingredient	19082733	Erysimum preparation	1
DPD114748	Spigelia Marylandica	Ingredient	19071807	Spigelia marilandica preparation	1
DPD102332	Delphininum	Ingredient	19070925	Delphinium Staphisagria Preparation	1
DPD114337	Silica Marina	Ingredient	19066865	Silicon Dioxide	1
DPD98347	Antivenin Crotaline Polyvalent	Ingredient	19061403	Polyvalent crotalidae antivenin	1
DPD97592	Adrenal Tissue	Ingredient	19061053	Adrenal cortex extract	1
DPD107579	Manganese Hvp Amino Acid Chelate	Ingredient	19060896	magnesium amino acid chelate	1
DPD112522	Purified Protein Derivative Battey Bacillus	Ingredient	19058274	Purified Protein Derivative of Tuberculin	1
DPD102050	Cupric Sulfate Basic	Ingredient	19057346	Copper Sulfate	1
DPD116011	Tilia Tomentosa	Ingredient	19056118	Tilia extract	1
DPD111870	Pollen	Ingredient	19055260	POLLEN EXTRACTS	1
DPD111871	Pollen And Non Pollen	Ingredient	19055260	POLLEN EXTRACTS	1
DPD111895	Polyoxyethylene Lauryl Ether	Ingredient	19055216	POLYOXYETHYLENE ETHER	1
DPD117222	Vitamin D2 (Ergosterol)	Ingredient	19045045	ergocalciferol	1
DPD117663	Zinc Organic Complex	Ingredient	19044317	zinc chloride	1
DPD116860	Vanadium Sulfate	Ingredient	19043266	vanadyl sulfate	1
DPD115198	Surfactant-Associated Proteins Sp-B And Sp-C	Ingredient	19042852		1
DPD112446	Provitamin A	Ingredient	19037223	Beta Carotene	1
DPD105520	Human Plasma	Ingredient	19025693		1
DPD111879	Poloxamer (Poloxamer 188)	Ingredient	19024636	Poloxamer 188	1
DPD110694	Papayotin	Ingredient	19016494	Carica Papaya preparation	1
DPD97871	Allergen Extract - Alum Precipitated	Ingredient	19014818	Allergenic extract	1
DPD97872	Allergen Extract - Diagnostic	Ingredient	19014818	Allergenic extract	1
DPD97876	Allergenic Extract Non-Pollen	Ingredient	19014818	Allergenic extract	1
DPD97880	Allergenic Extracts Pollens	Ingredient	19014818	Allergenic extract	1
DPD99404	Bacillus Calmette-Guerin (Bcg)  Substrain Montreal	Ingredient	19013730	"BCG, Live, Montreal Strain"	1
DPD103209	Dust Concentrate	Ingredient	19012956	"ALLERGENIC EXTRACT, HOUSE DUST EXTRACT CONCENTRATE"	1
DPD107581	Manganese Maleate	Ingredient	19004283	Magnesium malate	1
DPD104634	Gatifloxacin Hemihydrate	Ingredient	1789276	gatifloxacin	1
DPD103825	Eugenia Jambolana	Ingredient	1718916	Syzygium cumini fruit extract	1
DPD100118	Brayera	Ingredient	1718843	Hagenia abyssinica flower extract	1
DPD106472	Jonesia Asoca	Ingredient	1718841	Saraca indica bark extract	1
DPD104753	Gentiana Cruciata	Ingredient	1718822	Gentiana cruciata root extract	1
DPD104572	Galega Officinalis	Ingredient	1718821	Galega officinalis extract	1
DPD98847	Arbutus Andrachne	Ingredient	1718628	Arbutus andrachne leafy shoot extract	1
DPD98877	Aristolochia Milhomens	Ingredient	1718588	Aristolochia cymbifera flower extract	1
DPD103835	Eupatorium Aromaticum	Ingredient	1718173	Eutrochium purpureum flowering top extract	1
DPD103839	Eupatorium Purpureum	Ingredient	1718173	Eutrochium purpureum flowering top extract	1
DPD116482	Trumpet Weed	Ingredient	1718173	Eutrochium purpureum flowering top extract	1
DPD97633	Aesculus Indica	Ingredient	1315140	Horse Chestnut Preparation	1
	Melphalan 	Ingredient	1301267		1
DPD98027	Aluminum Hydroxide-Magnesium Carbonate-Co Dried Gel	Ingredient	985247	Aluminum Hydroxide	1
DPD98028	Aluminum Hydroxide-Sucrose Dried Gel	Ingredient	985247	Aluminum Hydroxide	1
DPD114169	Selenium Organic Complex	Ingredient	966282		1
DPD116390	Triethanolamine Polypeptide Cocoate Condensate	Ingredient	942765	TRIETHANOLAMINE POLYPEPTIDE OLEATE CONDENSATE	1
DPD100464	Calcium Sennosides A & B	Ingredient	938268	"sennosides, USP"	1
DPD112687	Rabies Vaccine Inactivated (Human Diploid-Cell Culture)	Ingredient	544505	"rabies virus vaccine wistar strain PM-1503-3M (Human), Inactivated"	1
DPD112688	Rabies Vaccine Inactivated (Purified Chick Embryo Cell Culture)	Ingredient	544411	rabies virus vaccine flury-lep strain	1
DPD116556	Typhoid Vaccine (Salmonella Typhi Ty21a)	Ingredient	523202	Typhoid Vaccine Live Ty21a	1
DPD102839	Dock	Ingredient	40162170	yellow dock pollen extract	4
DPD102839	Dock	Ingredient	40228792	white (mexican) dock pollen extract	3
DPD102839	Dock	Ingredient	40228117	bitter dock pollen extract	2
DPD102839	Dock	Ingredient	42709315	pale dock pollen extract	1
DPD117713	Zizyphus Spinosa	Ingredient	43532231	Ziziphus extract	1
DPD117663	Zinc Organic Complex	Ingredient	19044317	zinc chloride	1
DPD117470	Xanthoxylum	Ingredient	42900035	Zanthoxylum americanum bark extract	1
DPD111948	Poria Cocos	Ingredient	40220850	Wolfiporia extensa whole extract	1
DPD114380	Sinapis Alba	Ingredient	44785494	white mustard seed extract	1
DPD111014	Periwinkle	Ingredient	42903949	Vinca minor extract	1
