CONCEPT_NAME	CONCEPT_ID_2
MEPYRAMINE	1159811
METACYCLINE	19003644
METAMIZOLE SODIUM	19031397
METAMPICILLIN	19072054
METESCULETOL	36879090
METHANEARSONIC ACID	45892408
METHOXYSALICYLIC ACID	45774480
METHYL ETHER	42903627
METHYL-4-ESCULETOL	43532016
METHYL-5-AMINOLEVULINIC ACID	19025194
METHYLCAMPHORATE	19072128
METHYLNALTREXONE BROMIDE	909841
MILK	46276229
MILK SERUM PROTEIN	35606401
MINERALS	44012641
MIRISTALKONIUM HYDROXIDE	19056158
MITOGUAZONE	36878959
MONOFLUOROPHOSPHORIC ACID	19068715
MONOMETHYLTRISILANOL	1718722
MONTMORILLONITE	43532056
MUCOPOLYSACCHARIDASES	42903650
MULTIVITAMINS	36878782
MULTIVITAMINS AND MINERALS	36878782
MULTIVITAMINS AND MINERALS	44012641
MYRISTICA FRAGANS	45776901
MYRTUS COMMUNIS	42899695
MYRTUS COMMUNIS	42899696
MYRTUS COMMUNIS	45892541
N,N-DIETHYLSALICYLAMIDE	1164108
NALIDIXIC ACID	986864
NEISSERIA CATARRHALIS	36878920
NEROLI OIL	42898445
NOMEGESTROL ACETATE	19015533
NONOXINOL 9	969444
NUCLEOTIDS	19006877
NUCLEOTIDS	19071966
NUCLEOTIDS	43013853
NUCLEOTIDS	43525870
NUCLEOTIDS	43525871
O-PHENOLSULFONIC ACID	46233909
OCIMUM BASILICUM	42903798
OENANTHE PHELLANDRIUM	42899531
OENOTHERA BIENNIS	42899532
OENOTHERA BIENNIS	42899534
OENOTHERA BIENNIS	42899535
OENOTHERA BIENNIS	43560625
OLEA EUROPEA	35606159
OLEA EUROPEA	42899542
OLEA EUROPEA	42899640
OLEA EUROPEA	42904017
OLEA EUROPEA	43526292
OLEA EUROPEA	43526293
OLEIC ACID	19126536
OLIBANUM	42898995
OLIBANUM	42898999
OLMESARTAN MEDOXOMIL	40226742
ONONIS SPINOSA	42904267
ONONIS SPINOSA	45774907
OPUNTIA FICUS-INDICA	42899568
OPUNTIA FICUS-INDICA	42899569
OPUNTIA FICUS-INDICA	43532074
OPUNTIA FICUS-INDICA	43560243
ORIGANUM VULGARE	42899583
ORIGANUM VULGARE	45892543
ORNITHOGALLUM UMBELLATUM	42903996
ORTHOSIPHON STAMINEUS	36879159
OVARY	36878885
OVARY	42898532
OVARY	42900163
OXEDRINE	19001477
OXITRIPTAN	1363516
OXITROPIUM BROMIDE	19018882
P-HYDROXYCINNAMIC ACID	44785506
PALIPERIDONE PALMITATE	703244
PALMITIC ACID	43014178
PAMIDRONIC ACID	1511646
PANAX GINSENG	42899596
PANAX GINSENG	42899597
PANAX GINSENG	42899598
PANAX GINSENG	43013750
PANCREAS	19056189
PANCREAS	36878971
PANCREAS	42898533
PANCREAS	42900164
PAPAVER SOMNIFERUM	36879041
PARACETAMOL	1125315
PENTAERYTHRITYL TETRANITRATE	19022446
PENTOXYVERINE	1140640
PERBORIC ACID	19039877
PERNA CANALICULATA	42899684
PERSEA GRATISSIMA	42899604
PERSEA GRATISSIMA	42899605
PETHIDINE	1102527
PHENAZONE	1036059
PHYMATOLITHON CALCAREUM	35605818
PHYTOMENADIONE	19044727
PICOSULFURIC ACID	45775584
PIDOLIC ACID	19018255
PIMENTA OFFICINALIS	43532229
PINAVERIUM BROMIDE	19025198
PINUS MUGO PUMILIO	43012157
PINUS PINASTER	1718247
PINUS SIBIRICA	42899882
PINUS SIBIRICA	43525852
PINUS SIBIRICA	45776471
PINUS SYLVESTRIS	36249368
PINUS SYLVESTRIS	40220649
PINUS SYLVESTRIS	42899901
PINUS SYLVESTRIS	43525872
PINUS SYLVESTRIS	44814400
PIPEMIDIC ACID	19010564
PIPERAQUINE	36879011
PIRISUDANOL	19097999
PIVMECILLINAM	19088223
PIZOTIFEN	19047076
PLANTAGO PSYLLIUM	19132965
POLOXALKOL	42903870
POLY(OXYETHYLENE) POLY(OXYPROPYLENE)	19055216
POLYETHYLENE	19135778
POLYGONATUM FALCATUM	42899947
POLYGONATUM FALCATUM	43525912
POLYPEPTIDES	1305063
POLYPEPTIDES	36878769
POLYPEPTIDES	40182120
POLYPODIUM LEPYDOPTERIS	1378796
POLYQUAD	43532153
POLYURETHANE	35602877
PROBIOTICS	987128
PROBIOTICS	19006764
PROBIOTICS	19136097
PROBIOTICS	40242566
PROBIOTICS	40242573
PROBIOTICS	45776867
PROTEUS	36878814
PROTEUS	42899939
PROTEUS	42899940
PROTEUS	42903937
PROTIRELIN	19001701
PRUNUS CERASUS	1718781
PSORALEA	40220424
PSORALEA	42898845
PYRUS MALUS	42899346
PYRUS MALUS	44507587
QUERCUS ROBUR	42899835
QUERCUS ROBUR	45775923
QUILLAYA SMEGMADERMOS	42899838
QUILLAYA SMEGMADERMOS	43560651
QUININE-UREA	1760616
QUINISOCAINE	36878757
RAPHANUS SATIVUS	42899762
RAPHANUS SATIVUS	46233951
RAVENSARA AROMATICA	42898473
RETINOL	43012496
RHAMNUS PALIURUS	43532231
RHAMNUS PURSHIANA	44012690
RHEUM RHAPONTICUM	42899785
RHEUM RHAPONTICUM	43525902
RHEUM RHAPONTICUM	43560641
RHODIOLA ROSEA	42899769
RHODIOLA ROSEA	45774950
RIBES NIGRUM	42899798
RIBES NIGRUM	42899798
RIBES NIGRUM	44814409
RIBES NIGRUM	45776828
RIBONUCLEIC ACID	19136013
RICINOLEIC ACID	19123754
RIFAMYCIN	19035924
RIFAMYCIN	19136008
ROSA CANINA	35604869
ROSA CANINA	42900433
ROSA CANINA	43532159
ROSA CENTIFOLIA	42899856
ROSA CENTIFOLIA	43012947
ROSA GLANDALIFERA	42899823
ROSA GLANDALIFERA	42899859
RUBUS FRUTICOSUS	42899843
RUBUS FRUTICOSUS	45893007
RUBUS IDAEUS	42899844
RUBUS IDAEUS	43533111
RUBUS IDAEUS	45776105
RUMEX CONFERTUS	42899846
RUMEX CONFERTUS	42904073
RUTA GRAVEOLENS	19071805
RUTA GRAVEOLENS	42899854
SALIX ALBA	36249385
SALIX ALBA	42899712
SALIX ALBA	42899713
SALIX ALBA	42899714
SALIX ALBA	42899734
SALIX ALBA	44816296
SALT SUBSTITUTES	19049105
SAPINDUS	42899729
SAPINDUS	42904176
SAPINDUS	46275674
SCHINUS MOLLE	42899747
SCHINUS MOLLE	45893008
SCHISANDRA CHINENSIS	42899748
SELENICEREUS GRANDIFLORUS	35602851
SELENICEREUS GRANDIFLORUS	42899770
SELENICEREUS GRANDIFLORUS	42899771
SENNA	960820
SENNA	992409
SENNA	36878680
SENNA	42899776
SENNA	42899777
SENNA	43526359
SENNA	44507644
SENNA	45893009
SIAM BENZOIN	19011438
SILICONE OIL	36879030
SILVER	966913
SISYMBRIUM OFFICINALE	42903802
SOLANUM DULCAMARA	42900073
SOLANUM DULCAMARA	42900074
SOLANUM DULCAMARA	42904014
SOLANUM LYCOPERSICUM	43013842
SOLANUM LYCOPERSICUM	46234076
SORBIC ACID	19135789
SOYA ISOFLAVONES	19007600
SOYA LECITHIN	19078968
SPARTEINE	44012786
SPINAL CORD	42898539
SPINAL CORD	42900175
SPINAL CORD	46221744
SPLEEN	35606175
SPLEEN	36878690
SPLEEN	36878769
SPLEEN	36878973
SPLEEN	42898540
SPLEEN	42900176
STEARIC ACID	40220919
STREPTOCOCCUS	36879181
STREPTOCOCCUS	42900203
STREPTOCOCCUS	43012408
STREPTOCOCCUS	43012409
STREPTOCOCCUS	43012411
STREPTOCOCCUS	44012775
STREPTOCOCCUS	44012776
STREPTOCOCCUS	44814428
STREPTOCOCCUS	44814429
STREPTOCOCCUS	44814446
STROPHANTUS	43560320
SUMATRA BENZOIN	19011438
TAR	1000995
TETRASTARCH	46233903
THIOCTIC ACID	36878693
THYROID GLAND	36878890
TIAPROFENIC ACID	19086910
TIOTROPIUM BROMIDE	1106776
TOXICODENDRON PUBESCENS	42900058
TOXICODENDRON PUBESCENS	43013864
TRIAMCINOLONE ACETONIDE	903963
TRIAMCINOLONE BENETONIDE	903963
TRIAMCINOLONE HEXACETONIDE	903963
TRICHLOROACETIC ACID	987009
TRIFOLIUM PRATENSE	42900047
TRIFOLIUM PRATENSE	42904049
TRIFOLIUM PRATENSE	43013016
TRITICUM VULGARE	42899972
ULIPRISTAL ACETATE	40225722
UNDECYLENIC ACID	914244
URTICA URENS	43013863
VACCINE, BACILLUS CALMETTE-GUERIN	19015423
VACCINE, LEPTOSPIRAE	36878622
VACCINE, PNEUMOCOCCAL CONJUGATE	36878946
VACCINE, POLIOMYELITIS	36878872
VACCINE, POLIOMYELITIS	36878873
VACCINE, POLIOMYELITIS	36879031
VACCINIUM MACROCARPON	36249484
VALPROIC ACID	745466
VEGETABLE FIBRE	911891
VIPERA AMMODYTES	36878794
VITAMIN F	19100751
VITAMIN F	19106973
VITIS VINIFERA	35606157
VITIS VINIFERA	42900062
VITIS VINIFERA	42900068
VITIS VINIFERA	42904225
VITIS VINIFERA	43525901
WOOL ALCOHOLS	43012447
WOOL FAT	19087317
ZEA MAIS	43527194
ZEA MAIS	44506756
INSULIN ASPART	1567198
INSULIN ASPART PROTAMINE CRYSTALLINE	1531601
INSULIN BOVINE BASE	19013951
INSULIN BOVINE ZINC SUSPENSION (COMPOUND	19013951
INSULIN BOVINE ZINC SUSPENSION (CRYSTALL	19013951
INSULIN GLULISINE	1544838
INSULIN HUMAN (UNSPECIFIED)	1596977
INSULIN HUMAN (UNSPECIFIED)	1586369
INSULIN HUMAN BASE	1596977
INSULIN HUMAN BASE	1586369
INSULIN HUMAN ISOPHANE	46221581
INSULIN HUMAN ZINC SUSPENSION (AMORPHOUS	1513849
INSULIN HUMAN ZINC SUSPENSION (CRYSTALLI	1513849
INSULIN LISPRO PROTAMINE	1513876
INSULIN PORCINE BASE	42899447
INSULIN PORCINE ISOPHANE	42899447
INSULIN PORCINE ISOPHANE	46221581
